author,title,volumeEdition,year,journalConference
Zhaoqing Xie,LSTM Networks for Vessel Traffic Flow Prediction in Inland Waterway.,BigComp-2018,2018,BigComp
Juanying Xie,Local Standard Deviation Spectral Clustering.,BigComp-2018,2018,BigComp
Yi-ming Xing,A Short-Term Traffic Flow Prediction Method Based on Kernel Extreme Learning Machine.,BigComp-2018,2018,BigComp
Xiao Xu,A Fast Density Peaks Clustering Algorithm Based on Pre-Screening.,BigComp-2018,2018,BigComp
Guanghao Xu,Optimizing Policy via Deep Reinforcement Learning for Dialogue Management.,BigComp-2018,2018,BigComp
Danfeng Yan,Sentiment Analysis for Microblog Related to Finance Based on Rules and Classification.,BigComp-2018,2018,BigComp
Danfeng Yan,PPQAR - Parallel PSO for Quantitative Association Rule Mining.,BigComp-2018,2018,BigComp
Eunju Yang,An Adaptive Batch-Orchestration Algorithm for the Heterogeneous GPU Cluster Environment in Distributed Deep Learning System.,BigComp-2018,2018,BigComp
Yuehua Yang,An Ontology-Based Semantic Similarity Computation Model.,BigComp-2018,2018,BigComp
Yingze Yang,Ensemble Strategy for Hard Classifying Samples in Class-Imbalanced Data Set.,BigComp-2018,2018,BigComp
Longqi Yang,Community Detection Based on Co-regularized Nonnegative Matrix Tri-Factorization in Multi-view Social Networks.,BigComp-2018,2018,BigComp
Seung Won Yoon,The Architectural Design of Storage System for Power Data Management.,BigComp-2018,2018,BigComp
Lele Yu,GLM+ - An Efficient System for Generalized Linear Models.,BigComp-2018,2018,BigComp
Se-Young Yun,Noisy Power Method with Grassmann Average.,BigComp-2018,2018,BigComp
Shikun Zhang,The Cramér-InfoGAN and Partial Inverse Filter System for Unsupervised Image Classification.,BigComp-2018,2018,BigComp
Shiyue Zhang,History-Based Article Quality Assessment on Wikipedia.,BigComp-2018,2018,BigComp
Wei Zhang,Data Fusion Method Based on Improved D-S Evidence Theory.,BigComp-2018,2018,BigComp
Hongming Zhang,Capture Commonsense Knowledge for Sentiment Analysis.,BigComp-2018,2018,BigComp
Cong Zhang,Boosting VLAD with Weighted Fusion of Local Descriptors.,BigComp-2018,2018,BigComp
Linjing Zhao,Power Savings with CoMP Technology in Cellular Networks.,BigComp-2018,2018,BigComp
Xiaoshuai Zhao,A Cooperative Interference Eliminated Mechanism in MIMO Systems.,BigComp-2018,2018,BigComp
Tingyi Zheng,Unlabeled Text Classification Optimization Algorithm Based on Active Self-Paced Learning.,BigComp-2018,2018,BigComp
Shuqiao Zhou,Transient Identification - Shortening Identification Delay and Enhancing Identification Rate by Selecting the Optimal Moving Window Size.,BigComp-2018,2018,BigComp
Ahmed Abdelli,A four-frames differencing technique for moving objects detection in wide area surveillance.,BigComp-2017,2017,BigComp
Richard Adeyemi Ikuesan,High-level online user attribution model based on human Polychronic-Monochronic tendency.,BigComp-2017,2017,BigComp
Hongryul Ahn,Integration of heterogeneous time series gene expression data by clustering on time dimension.,BigComp-2017,2017,BigComp
Heejune Ahn,Data collection and analysis of smartphone use and sleep of secondary school children.,BigComp-2017,2017,BigComp
Mohammed Al-Zeyadi,On the mining and usage of Movement Patterns in large traffic networks.,BigComp-2017,2017,BigComp
Moshaddique Al Ameen,An efficient unscheduled communication for smart body centric networks.,BigComp-2017,2017,BigComp
Noor Ul Amin,Extracting top-K interesting subgraphs with weighted query semantics.,BigComp-2017,2017,BigComp
Ahmad Amro,NetInfoMiner - High-level information extraction from network traffic.,BigComp-2017,2017,BigComp
Marcella Astrid,CP-decomposition with Tensor Power Method for Convolutional Neural Networks compression.,BigComp-2017,2017,BigComp
Anupam Kumar Bairagi,LTE-U sum-rate maximization considering QoS and co-existence issue.,BigComp-2017,2017,BigComp
Kyoungsoo Bok,An efficient cache management scheme for accessing small files in Distributed File Systems.,BigComp-2017,2017,BigComp
Fateh Boucenna,Accelerated search over encrypted cloud data.,BigComp-2017,2017,BigComp
Jingjing Cao,Sentimental feature based collaborative filtering recommendation.,BigComp-2017,2017,BigComp
Pingfu Chao,A performance study on large-scale data analytics using disk-based and in-memory database systems.,BigComp-2017,2017,BigComp
GiRyong Choi,A center-biased graph learning algorithm for image classification.,BigComp-2017,2017,BigComp
Jusop Choi,Forensic analysis of the backup database file in KakaoTalk messenger.,BigComp-2017,2017,BigComp
Jonghwan Chung,Machine learning based path management for mobile devices over MPTCP.,BigComp-2017,2017,BigComp
Wenjuan Cui,Personalized microblog recommendation using sentimental features.,BigComp-2017,2017,BigComp
The-Hien Dang-Ha,Graph of virtual actors (GOVA) - A Big Data analytics architecture for IoT.,BigComp-2017,2017,BigComp
Xishuang Dong,Short-term load forecasting in smart grid - A combined CNN and K-means clustering approach.,BigComp-2017,2017,BigComp
Chris Soo-Hyun Eom,Find spammers by using graph structure.,BigComp-2017,2017,BigComp
Pierre Ficamos,A Naive Bayes and Maximum Entropy approach to sentiment analysis - Capturing domain-specific data in Weibo.,BigComp-2017,2017,BigComp
Yikai Gong,The design and benchmarking of a Cloud-based platform for processing and visualization of traffic data.,BigComp-2017,2017,BigComp
Jung-Woo Ha,Predicting high-risk prognosis from diagnostic histories of adult disease patients via deep recurrent neural networks.,BigComp-2017,2017,BigComp
Seung-Ho Han,Rehabilitation posture correction using deep neural network.,BigComp-2017,2017,BigComp
Donghyoung Han,A distributed in-situ analysis method for large-scale scientific data.,BigComp-2017,2017,BigComp
Te-Wei Ho,Smart computing mechanism for noise detection and elimination in ECG signal.,BigComp-2017,2017,BigComp
Kentaro Horio,Efficient parallel summation on encrypted database system.,BigComp-2017,2017,BigComp
Sungchan Hur,A power- and storage-efficient HLS media server for multi-bitrate VOD services.,BigComp-2017,2017,BigComp
Jonghwan Hyeon,Diagnosing cervical cell images using pre-trained convolutional neural network as feature extractor.,BigComp-2017,2017,BigComp
Hwon Ihm,Multi-source food hazard event extraction for public health.,BigComp-2017,2017,BigComp
Batselem Jagvaral,Large-scale incremental OWL/RDFS reasoning over fuzzy RDF data.,BigComp-2017,2017,BigComp
Seol-Young Jeong,Homecare kit platform supporting multiple bio-signals acquisition and analysis in daily-life.,BigComp-2017,2017,BigComp
Young-Seob Jeong,Money extraction and normalization from texts.,BigComp-2017,2017,BigComp
Ying Jiang,LanguageTool based University rumor detection on Sina Weibo.,BigComp-2017,2017,BigComp
Hyeong-Gon Jo,In-door location-based smart factory cloud platform supporting device-to-device self-collaboration.,BigComp-2017,2017,BigComp
Taebo Jung,A noise parameter configuration technique to mitigate detour inference attack on differential privacy.,BigComp-2017,2017,BigComp
Daekyoung Jung,Interactive visual analysis of miRNA target prediction results.,BigComp-2017,2017,BigComp
Hyun Gook Kang,Efficient fall detection based on event pattern matching in image streams.,BigComp-2017,2017,BigComp
Kifayat-Ullah Khan,Accelerating community-search problem through faster graph dedensification.,BigComp-2017,2017,BigComp
Sung-Hwan Kim,Position-restricted approximate string matching with metric Hamming distance.,BigComp-2017,2017,BigComp
Jeongwoo Kim,SSL - Inferring disease-related genes using sentence structure and literature data.,BigComp-2017,2017,BigComp
Han-Gyu Kim,Discriminative restricted Boltzmann machine for emergency detection on healthcare robot.,BigComp-2017,2017,BigComp
Han-Gyu Kim,Recurrent neural networks with missing information imputation for medical examination data prediction.,BigComp-2017,2017,BigComp
You Jin Kim,Clinical opinions generation from general blood test results using deep neural network with principle component analysis and regularization.,BigComp-2017,2017,BigComp
Zae Myung Kim,An adaptive vocabulary learning application through modeling learner's linguistic proficiency and interests.,BigComp-2017,2017,BigComp
Kiseog Kim,Improving Wi-Fi performance using Smart AP.,BigComp-2017,2017,BigComp
Jin Kim,Method of intrusion detection using deep neural network.,BigComp-2017,2017,BigComp
ByungSoo Ko,Neural network-based autonomous navigation for a homecare mobile robot.,BigComp-2017,2017,BigComp
ByungSoo Ko,Controlled dropout - A different approach to using dropout on deep neural network.,BigComp-2017,2017,BigComp
Kyunglag Kwon,Sentiment trend analysis in social web environments.,BigComp-2017,2017,BigComp
Luan D. M. Lam,Predicting indoor spatial movement using data mining and movement patterns.,BigComp-2017,2017,BigComp
Hong-Quan Le,An augmented reality application with hand gestures for learning 3D geometry.,BigComp-2017,2017,BigComp
Hyunjo Lee,Bitmap-based distributed index structure and encrypted query processing schemes for outsourcing mobile sensitive data.,BigComp-2017,2017,BigComp
Sangseon Lee,Flow maximization analysis of cell cycle pathway activation status in breast cancer subtypes.,BigComp-2017,2017,BigComp
Dongkeon Lee,The chatbot feels you - a counseling service using emotional response generation.,BigComp-2017,2017,BigComp
Song-Mi Lee,Human activity recognition from accelerometer data using Convolutional Neural Network.,BigComp-2017,2017,BigComp
Xiaodong Li 0007,Market impact analysis via sentimental transfer learning.,BigComp-2017,2017,BigComp
Chae-Gyun Lim,Context-based healthy lifestyle recommendation for enhancing user's wellness.,BigComp-2017,2017,BigComp
Hongyeol Lim,JUMPRUN - A hybrid mechanism to accelerate item scanning for in-memory databases.,BigComp-2017,2017,BigComp
Bo-Huei Lin,A predictive analysis of citizen hotlines 1999 and traffic accidents - A case study of Taoyuan city.,BigComp-2017,2017,BigComp
Naofumi Murata,Accelerating read atomic multi-partition transaction with remote direct memory access.,BigComp-2017,2017,BigComp
Sangha Nam,MRQUSAR - A web-scale distributed spatial reasoner using MapReduce.,BigComp-2017,2017,BigComp
Youngju Oh,Principal elements for visualizing event sequence data applied to 3D cascading diagrams.,BigComp-2017,2017,BigComp
Kyo-Joong Oh,A model of Korean sentence similarity measurement using sense-based morpheme embedding and RNN sentence encoding.,BigComp-2017,2017,BigComp
Yunjoo Park,Challenges in memory subsystem design for future smartphone systems.,BigComp-2017,2017,BigComp
Sungjin Park,Time-Sensitive Multi-Dimensional Recommender in database system.,BigComp-2017,2017,BigComp
Grace Park,IRIS - A goal-oriented big data analytics framework on Spark for better Business decisions.,BigComp-2017,2017,BigComp
Victor Parque,On succinct representation of directed graphs.,BigComp-2017,2017,BigComp
Yongjun Piao,Detection of differentially expressed genes using feature selection approach from RNA-seq.,BigComp-2017,2017,BigComp
Ki Ho Shin,Music synchronization with video using emotion similarity.,BigComp-2017,2017,BigComp
Siwoon Son,Anomaly detection for big log data using a Hadoop ecosystem.,BigComp-2017,2017,BigComp
Youngho Song,Design and implementation of HDFS data encryption scheme using ARIA algorithm on Hadoop.,BigComp-2017,2017,BigComp
Jaya Thomas,DP-miRNA - An improved prediction of precursor microRNA using deep learning model.,BigComp-2017,2017,BigComp
Tien Duong Vu,Multimodal learning using convolution neural network and Sparse Autoencoder.,BigComp-2017,2017,BigComp
Xiaoxuan Wang,Incremental mining of high utility co-locations from spatial database.,BigComp-2017,2017,BigComp
Yafei Wang,Head pose-free eye gaze prediction for driver attention study.,BigComp-2017,2017,BigComp
Haoran Xie 0001,Revisit tag-based profiles in the folksonomy - How many tags are sufficient for profiling?,BigComp-2017,2017,BigComp
Guanghao Xu,Convolutional Neural Network using a threshold predictor for multi-label speech act classification.,BigComp-2017,2017,BigComp
Kai Yang,A new samples selecting method based on K nearest neighbors.,BigComp-2017,2017,BigComp
Kai Yang,An effective hybrid model for opinion mining and sentiment analysis.,BigComp-2017,2017,BigComp
Hongsuk Yi,Deep Neural Networks for traffic flow prediction.,BigComp-2017,2017,BigComp
Wen-Yuan Zhu,SEM - A Softmax-based Ensemble Model for CTR estimation in Real-Time Bidding advertising.,BigComp-2017,2017,BigComp
Ahmed Abdelli,Recursive motion smoothing for online video stabilization in wide-area surveillance.,BigComp-2016,2016,BigComp
Jinyoung Ahn,Highway traffic flow prediction using support vector regression and Bayesian classifier.,BigComp-2016,2016,BigComp
Juneyoung Ahn,Pet buddy - A wearable device for canine behavior recognition using a single IMU.,BigComp-2016,2016,BigComp
Jinwon An,Hand motion identification of grasp-and-lift task from electroencephalography recordings using recurrent neural networks.,BigComp-2016,2016,BigComp
Kyoung Soo Bok,A multiple RSU scheduling for V2I-based data services.,BigComp-2016,2016,BigComp
Yeukyin Chan,FinaVistory - Using Narrative Visualization to explain social and Economic relationships in financial news.,BigComp-2016,2016,BigComp
Kai Cheng,Sparsifying and sampling of large graphs for efficient dense subgraph detection.,BigComp-2016,2016,BigComp
Jeonghee Chi,Traffic flow-based roadside unit allocation strategy for VANET.,BigComp-2016,2016,BigComp
Heeryon Cho,Data-driven feature word selection for clustering online news comments.,BigComp-2016,2016,BigComp
In-Ho Choi,Real-time categorization of driver's gaze zone using the deep learning techniques.,BigComp-2016,2016,BigComp
Jiyeon Choi,A hybrid method for retrieving medical documents with query expansion.,BigComp-2016,2016,BigComp
Victor W. Chu,Enhancing portfolio return based on market-sentiment linked topics.,BigComp-2016,2016,BigComp
Chanida Deerosejanadej,A sentence clustering framework for opinion summarization using a modified genetic algorithm.,BigComp-2016,2016,BigComp
Hyun-Woo Do,Temporal relation classification with deep neural network.,BigComp-2016,2016,BigComp
Hyo Jin Do,Another dummy generation technique in location-based services.,BigComp-2016,2016,BigComp
Hyo Jin Do,Analyzing emotions in twitter during a crisis - A case study of the 2015 Middle East Respiratory Syndrome outbreak in Korea.,BigComp-2016,2016,BigComp
Zhaoan Dong,PANDA - A platform for academic knowledge discovery and acquisition.,BigComp-2016,2016,BigComp
Wenhao Gao,Evolutionary community discovery in dynamic networks based on leader nodes.,BigComp-2016,2016,BigComp
Liping Guan,A phrase-based model to discover hidden factors and hidden topics in recommender systems.,BigComp-2016,2016,BigComp
Changhee Hahn,Scalable and secure Private Set intersection for big data.,BigComp-2016,2016,BigComp
Kyouyeol Han,Implemetation of retrieval system for Prior Art Candidate search.,BigComp-2016,2016,BigComp
Keejun Han,Introducing experiential knowledge platform - A smart decision supporter for field experts.,BigComp-2016,2016,BigComp
Kyung-Im Han,Speech recognition and lip shape feature extraction for English vowel pronunciation of the hearing-impaired based on SVM technique.,BigComp-2016,2016,BigComp
Givanna Putri Haryono,Profiling apache HIVE query from run time logs.,BigComp-2016,2016,BigComp
Ki-Joo Hong,A semantic search technique with Wikipedia-based text representation model.,BigComp-2016,2016,BigComp
Thien Huynh-The,Improved PAM-based traffic behavior recognition using trajectory-wise features.,BigComp-2016,2016,BigComp
Jonghwan Hyeon,Constructing an initial knowledge base for medical domain expert system using induct RDR.,BigComp-2016,2016,BigComp
Hyeongsoon Im,Bigdata analytics on CCTV images for collecting traffic information.,BigComp-2016,2016,BigComp
Seung-Hyun Jang,Network simulator design based Event-Driven Scheduling for multi-channel operation in WAVE.,BigComp-2016,2016,BigComp
Wonang Jang,Methodology to improve driving habits by optimizing the in-vehicle data extracted from OBDII using genetic algorithm.,BigComp-2016,2016,BigComp
Kyoungrok Jang,Food hazard event extraction based on news and social media - A preliminary work.,BigComp-2016,2016,BigComp
Patcharaporn Jenviriyakul,ALICE Connex - A volunteer computing platform for ALICE experiments.,BigComp-2016,2016,BigComp
Kyosung Jeong,Dual-Spiral methodology for knowledgebase constructions.,BigComp-2016,2016,BigComp
Young-Seob Jeong,Issues about combination of temporal information and spatial information.,BigComp-2016,2016,BigComp
Young-Seob Jeong,Discovery of research interests of authors over time using a topic model.,BigComp-2016,2016,BigComp
Yong-Yeon Jo,Data mining in intelligent SSD - Simulation-based evaluation.,BigComp-2016,2016,BigComp
Hosung Jo,Fast prime generation algorithms using proposed GCD test on mobile smart devices.,BigComp-2016,2016,BigComp
Won-Tae Joo,Political orientation detection on Korean newspapers via sentence embedding and deep learning.,BigComp-2016,2016,BigComp
Yeon Gil Jung,Successful DNA data structure to analyze bioinformatics.,BigComp-2016,2016,BigComp
Yuchae Jung,Monitoring senior wellness status using multimodal biosensors.,BigComp-2016,2016,BigComp
Ashwin Kumar T. K,Veracity of information in twitter data - A case study.,BigComp-2016,2016,BigComp
Yangyang Kang,Robust and scalable matrix completion.,BigComp-2016,2016,BigComp
Hyun Gook Kang,Human body posture recognition with discrete cosine transform.,BigComp-2016,2016,BigComp
KeumHee Kang,Identifying depressive users in Twitter using multimodal analysis.,BigComp-2016,2016,BigComp
Kifayat-Ullah Khan,On efficiently summarizing a large dynamic graph.,BigComp-2016,2016,BigComp
Pedram Khayyat Khoshnevis,An Adaptive Network Coding scheme for unreliable multi-hop wireless networks.,BigComp-2016,2016,BigComp
Sung-min Kim,Automated discovery of small business domain knowledge using web crawling and data mining.,BigComp-2016,2016,BigComp
Zae Myung Kim,TIMEX3 and event extraction using recurrent neural networks.,BigComp-2016,2016,BigComp
Zae Myung Kim,Understanding news stories through SVO triplets.,BigComp-2016,2016,BigComp
Hyeong-Il Kim,A kNN query processing algorithm using a tree index structure on the encrypted database.,BigComp-2016,2016,BigComp
Jong Myoung Kim,An approach to spam comment detection through domain-independent features.,BigComp-2016,2016,BigComp
Bogyum Kim,Issues in spatial information annotation in Korean texts.,BigComp-2016,2016,BigComp
Sung-Hwan Kim,An eigenvalue-based pivot selection strategy for improving search efficiency in metric spaces.,BigComp-2016,2016,BigComp
Jumi Kim,Business driving force models for big data environment.,BigComp-2016,2016,BigComp
Seohyang Kim,Data utility cognitive green video streaming.,BigComp-2016,2016,BigComp
Jong Myoung Kim,The correlation between search quality and query popularity.,BigComp-2016,2016,BigComp
Svetlana Kim,Architecture of 4-way tensor factorization for context-aware recommendations.,BigComp-2016,2016,BigComp
Eunjeong Ko,Discovering visual features for recognizing user's sentiments in social images.,BigComp-2016,2016,BigComp
Wooyoung Kwon,Probabilistic tourist trip-planning with time-dependent human and environmental factors.,BigComp-2016,2016,BigComp
Tuan LeAnh,Distributed power and channel allocation for cognitive femtocell network using a coalitional game approach.,BigComp-2016,2016,BigComp
HyeYoung Lee,Collective intelligence-based idea platform with linked data.,BigComp-2016,2016,BigComp
Jong-yul Lee,Design and implementation of network simulation platform for WAVE protocols.,BigComp-2016,2016,BigComp
Jiwan Lee,Extraction of weather information on road using CCTV video.,BigComp-2016,2016,BigComp
Suan Lee,Performance evaluation of MRDataCube for data cube computation algorithm using MapReduce.,BigComp-2016,2016,BigComp
Jooyoung Lee 0003,Synchronized context sharing over multiple devices - Personalized rendering of multimodal contents.,BigComp-2016,2016,BigComp
Chanhee Lee,A data acquisition architecture for healthcare services in mobile sensor networks.,BigComp-2016,2016,BigComp
Seok-Joo Lee,An efficient parallel graph clustering technique using Pregel.,BigComp-2016,2016,BigComp
Dongeon Lee,A hierarchical model for real-time massive reaction visualization based on anatomical semantics.,BigComp-2016,2016,BigComp
Dahee Lee,Exploring perceptual differences of experts and the public on diabetes.,BigComp-2016,2016,BigComp
Serin Lee,Top-k high utility itemset mining based on utility-list structures.,BigComp-2016,2016,BigComp
Seungmin Lee,A case study of Self-adaptive Software in the dynamic reconfiguration of IT Ecosystem.,BigComp-2016,2016,BigComp
Dae-Hee Lee,Design and implementation of service-oriented meta-knowledge base for collaboration of distributes smart devices.,BigComp-2016,2016,BigComp
Sunghee Lee,Bagging-based active learning model for named entity recognition with distant supervision.,BigComp-2016,2016,BigComp
Yena Lee,Interoperation system between HLA/RTI federation and DBMS through HLA/RTI simulating virtual test.,BigComp-2016,2016,BigComp
Mingzhao Li 0001,Social-aware visualized exploration of tourist behaviours.,BigComp-2016,2016,BigComp
Xin Li,Weighted multi-label classification model for sentiment analysis of online news.,BigComp-2016,2016,BigComp
Chae-Gyun Lim,A survey of temporal information extraction and language independent features.,BigComp-2016,2016,BigComp
Yoo Jin Lim,A runtime verification framework for dynamically adaptive multi-agent systems.,BigComp-2016,2016,BigComp
Yu-Jen Lin,Predicting popularity of articles on bulletin board system.,BigComp-2016,2016,BigComp
Hailong Liu,Web-based techniques for automatically detecting and correcting information errors in a database.,BigComp-2016,2016,BigComp
Junli Lu,A novel method on incremental mining of spatial co-locations.,BigComp-2016,2016,BigComp
Hyejeong Nam,Smart Belt - A wearable device for managing abdominal obesity.,BigComp-2016,2016,BigComp
Nicholas J. Napoli,A MapReduce framework to improve template matching uncertainty.,BigComp-2016,2016,BigComp
Khanh-Ly Nguyen,Hot topic detection and technology trend tracking for patents utilizing term frequency and proportional document frequency and semantic information.,BigComp-2016,2016,BigComp
Kyo-Joong Oh,Travel intention-based attraction network for recommending travel destinations.,BigComp-2016,2016,BigComp
Hancheol Park,Affix modification-based bilingual pivoting method for paraphrase extraction in agglutinative languages.,BigComp-2016,2016,BigComp
Sangmyeon Park,Prediction method about power consumption by using utilization rate of resource in cloud computing environment.,BigComp-2016,2016,BigComp
Juneyoung Park,Graph-based retrieval model for semi-structured data.,BigComp-2016,2016,BigComp
Mostofa Kamal Rasel,Exploiting CPU parallelism for triangle listing using hybrid summarized bit batch vector.,BigComp-2016,2016,BigComp
Jae-Ho Shin,XPath based crawling method with crowdsourcing for targeted online market places.,BigComp-2016,2016,BigComp
HaeYong Shin,Bringing bag-of-phrases to ODP-based text classification.,BigComp-2016,2016,BigComp
Justin JongSu Song,Retrieving patents with inverse patent category frequency.,BigComp-2016,2016,BigComp
Tae-Gun Song,Hierarchical RAID's parity generation using pass-through GPU in multi virtual-machine environment.,BigComp-2016,2016,BigComp
Chih-Hua Tai,On recommendation of graph mining algorithms for different data.,BigComp-2016,2016,BigComp
Yasunari Takatsuka,A caching mechanism based on data freshness.,BigComp-2016,2016,BigComp
Satoshi Togawa,Live migration destination selecting method for disaster recovery on e-learning environment.,BigComp-2016,2016,BigComp
Nguyen Anh Tu,Semantic image retrieval using correspondence topic model with background distribution.,BigComp-2016,2016,BigComp
John Yang,Kernel parameter selection by gap maximization between intra and inter-class samples.,BigComp-2016,2016,BigComp
Joonseok Yang,Improving vulnerability prediction accuracy with Secure Coding Standard violation measures.,BigComp-2016,2016,BigComp
Wu Yang,A fused method for news recommendation.,BigComp-2016,2016,BigComp
Yeo-Jin Yoon,Geometry representations with unsupervised feature learning.,BigComp-2016,2016,BigComp
Divyakant Agrawal,Mind your Ps and Vs - A perspective on the challenges of big data management and privacy concerns.,BigComp-2015,2015,BigComp
Robert B. Allen,Architectures for complex semantic models.,BigComp-2015,2015,BigComp
Nur Aziza Azis,Substitutive skeleton fusion for human action recognition.,BigComp-2015,2015,BigComp
Donghwan Bae,AppTrends - A graph-based mobile app recommendation system using usage history.,BigComp-2015,2015,BigComp
Jeesoo Bang,Example-based chat-oriented dialogue system with personalized long-term memory.,BigComp-2015,2015,BigComp
Kyoungsoo Bok,An expert search scheme using user activities and reliabilities in social networks.,BigComp-2015,2015,BigComp
Thanh-Hieu Bui,Detection of POI boundaries through geographical topics.,BigComp-2015,2015,BigComp
Yoohyeon Cho,"Analysis of anti-cancer cytokines by Apriori algorithm, decision tree, and SVM.",BigComp-2015,2015,BigComp
Jaeyong Choi,A graphical administration tool for managing cloud storage system.,BigComp-2015,2015,BigComp
Hyo Jin Do,"Sentiment analysis of real-life situations using location, people and time as contextual features.",BigComp-2015,2015,BigComp
Myeong-Seon Gil,Fast index construction for distortion-free subsequence matching in time-series databases.,BigComp-2015,2015,BigComp
Keejun Han,Adaptive and multiple interest-aware user profiles for personalized search in folksonomy - A simple but effective graph-based profiling model.,BigComp-2015,2015,BigComp
Sangdo Han,Keyword question answering system with report generation for linked data.,BigComp-2015,2015,BigComp
Liang He,Distributed real-time knowledge graph serving.,BigComp-2015,2015,BigComp
Seung-Tae Hong,A hierarchical CRT-based user access control scheme using resource set tree on the cloud system.,BigComp-2015,2015,BigComp
Muhammad Idris,Big Data service engine (BISE) - Integration of Big Data technologies for human centric wellness data.,BigComp-2015,2015,BigComp
Batselem Jagvaral,Distributed scalable RDFS reasoning.,BigComp-2015,2015,BigComp
Bo-Ram Jang,A combination of temporal and general preferences for app recommendation.,BigComp-2015,2015,BigComp
Young-Seob Jeong,Relationship between class order and parameter approximation in unsupervised learning.,BigComp-2015,2015,BigComp
Kangsoo Jung,A game theoretic approach for collaborative caching techniques in privacy preserving location-based services.,BigComp-2015,2015,BigComp
Min-Yen Kan,Serving the readers of scholarly documents - A grand challenge for the introspective digital library.,BigComp-2015,2015,BigComp
Jee-hong Kim,Fast and space-efficient defense against jump-oriented programming attacks.,BigComp-2015,2015,BigComp
Bum-Soo Kim,Partial denoising boundary image matching using time-series matching techniques.,BigComp-2015,2015,BigComp
Jungeun Kim,Triangle counting in networks using a multi-level branching technique.,BigComp-2015,2015,BigComp
Seohyang Kim,ePF-DASH - Energy-efficient prefetching based dynamic adaptive streaming over HTTP.,BigComp-2015,2015,BigComp
Je-Min Kim,Scalable OWL-Horst ontology reasoning using SPARK.,BigComp-2015,2015,BigComp
Kyoungmin Kim,"Analysis of DFNA5's three distinct mutations by Apriori, decision tree.",BigComp-2015,2015,BigComp
Taekyung Kim,Promptly pinpointing mobile RFID tags for large-scale Internet-of-Things.,BigComp-2015,2015,BigComp
Rita Kukafka,Introducing decision support for smart mobile health behavior change applications.,BigComp-2015,2015,BigComp
Suan Lee,MRDataCube - Data cube computation using MapReduce.,BigComp-2015,2015,BigComp
Kyu-haeng Lee,Rateless code based reliable multicast for data distribution service.,BigComp-2015,2015,BigComp
Seonggyu Lee,An extension of topic models for text classification - A term weighting approach.,BigComp-2015,2015,BigComp
Won-Jo Lee,An extension of the automatic cross-association method with a 3-dimensional matrix.,BigComp-2015,2015,BigComp
Jun Li 0036,Tensor decomposition of Toeplitz Jacket matrices for big data processing.,BigComp-2015,2015,BigComp
Chae-Gyun Lim,Suggesting biomedical topics for unseen research articles based on MeSH descriptors.,BigComp-2015,2015,BigComp
Yongsub Lim,Discovering large subsets with high quality partitions in real world graphs.,BigComp-2015,2015,BigComp
Miao Lin,Mobile user verification/identification using statistical mobility profile.,BigComp-2015,2015,BigComp
Tao-Jian Lu,Semi-supervised microblog sentiment analysis using social relation and text similarity.,BigComp-2015,2015,BigComp
Kyo-Joong Oh,Paraphrase generation based on lexical knowledge and features for a natural language question answering system.,BigComp-2015,2015,BigComp
Robert Pienta,Scalable graph exploration and visualization - Sensemaking challenges and opportunities.,BigComp-2015,2015,BigComp
Byung-Gul Ryu,Selfish replica allocation in a mobile ad hoc network with data update.,BigComp-2015,2015,BigComp
Seunghyun Seo,SFA-based cloud federation monitoring system for integrating physical resources.,BigComp-2015,2015,BigComp
Il-Kyu Shin,Efficient stereo rendering of large 3D datasets based on binocular suppression.,BigComp-2015,2015,BigComp
Woong Shin,Providing QoS through host controlled flash SSD garbage collection and multiple SSDs.,BigComp-2015,2015,BigComp
Min Song 0001,Exploring concept graphs for biomedical literature mining.,BigComp-2015,2015,BigComp
Jaya Thomas,Overview of integrative analysis methods for heterogeneous data.,BigComp-2015,2015,BigComp
Karin Verspoor,Drawing on millions of biomedical journal publications to do predictive biology.,BigComp-2015,2015,BigComp
Hui Wang,Robust network construction against intentional attacks.,BigComp-2015,2015,BigComp
Min Yoon,A data encryption scheme and GPU-based query processing algorithm for spatial data outsourcing.,BigComp-2015,2015,BigComp
Subin Yoon,"Analysis of genetic relationship of M81 and B95-in Epstein-Barr Virus - Comparison of M81 and B95-8 by using Apriori algorithm, decision tree, and support vector machine.",BigComp-2015,2015,BigComp
YoungSeok Ahn,A slim and wide multi-touch tabletop interface and its applications.,BigComp-2014,2014,BigComp
Bashar Al-Shboul,Analyzing topic drift in query expansion for Information Retrieval from a large-scale patent DataBase.,BigComp-2014,2014,BigComp
Jaehyun An,An algorithm for identifying differentially expressed genes in multiclass RNA-seq samples.,BigComp-2014,2014,BigComp
Thepparit Banditwattanawong,Economical and efficient big data sharing with i-Cloud.,BigComp-2014,2014,BigComp
Sourav S. Bhowmick,INGOT - Towards network-driven in silico combination therapy.,BigComp-2014,2014,BigComp
Mahfuzur Rahman Bosunia,Efficient data delivery based on content-centric networking.,BigComp-2014,2014,BigComp
Taehoon Cho,Vision-based animation of 3D facial avatars.,BigComp-2014,2014,BigComp
Wanhyun Cho,Edge-preserving denoising method using variation approach and gradient distribution.,BigComp-2014,2014,BigComp
Yoon Kyoung Choi,An auxiliary recommendation system for repetitively purchasing items in E-commerce.,BigComp-2014,2014,BigComp
In-Ho Choi,Head pose and gaze direction tracking for detecting a drowsy driver.,BigComp-2014,2014,BigComp
